ESPNName,TeamID,ManiaTeamName,MatchMethod
Fresno St.,1201,Fresno St,spellings_exact
Furman,1202,Furman,spellings_exact
Gardner Webb,1205,Gardner Webb,spellings_exact
George Mason,1206,George Mason,spellings_exact
George Washington,1203,G Washington,spellings_exact
Georgetown,1207,Georgetown,spellings_exact
Georgia,1208,Georgia,spellings_exact
Georgia Southern,1204,Ga Southern,spellings_exact
Georgia St.,1209,Georgia St,spellings_exact
Georgia Tech,1210,Georgia Tech,spellings_exact
Gonzaga,1211,Gonzaga,spellings_exact
Grambling St.,1212,Grambling,spellings_exact
Grand Canyon,1213,Grand Canyon,spellings_exact
Green Bay,1453,WI Green Bay,spellings_exact
Hampton,1214,Hampton,spellings_exact
Hartford,1216,Hartford,spellings_exact
Harvard,1217,Harvard,spellings_exact
Hawaii,1218,Hawaii,spellings_exact
High Point,1219,High Point,spellings_exact
Hofstra,1220,Hofstra,spellings_exact
Holy Cross,1221,Holy Cross,spellings_exact
Houston,1222,Houston,spellings_exact
Houston Christian,1223,Houston Chr,spellings_exact
Howard,1224,Howard,spellings_exact
IU Indy,1237,IUPUI,spellings_exact
Idaho,1225,Idaho,spellings_exact
Idaho St.,1226,Idaho St,spellings_exact
Illinois,1228,Illinois,spellings_exact
Illinois Chicago,1227,IL Chicago,manual_override
Illinois St.,1229,Illinois St,spellings_exact
Incarnate Word,1230,Incarnate Word,spellings_exact
Indiana,1231,Indiana,spellings_exact
Indiana St.,1232,Indiana St,spellings_exact
Iona,1233,Iona,spellings_exact
Iowa,1234,Iowa,spellings_exact
Iowa St.,1235,Iowa St,spellings_exact
Jackson St.,1238,Jackson St,spellings_exact
Jacksonville,1239,Jacksonville,spellings_exact
Jacksonville St.,1240,Jacksonville St,spellings_exact
James Madison,1241,James Madison,spellings_exact
Kansas,1242,Kansas,spellings_exact
Kansas St.,1243,Kansas St,spellings_exact
Kennesaw St.,1244,Kennesaw,spellings_exact
Kent St.,1245,Kent,spellings_exact
Kentucky,1246,Kentucky,spellings_exact
LIU,1254,LIU Brooklyn,spellings_exact
LSU,1261,LSU,spellings_exact
La Salle,1247,La Salle,spellings_exact
Lafayette,1248,Lafayette,spellings_exact
Lamar,1249,Lamar,spellings_exact
Le Moyne,1478,Le Moyne,spellings_exact
Lehigh,1250,Lehigh,spellings_exact
Liberty,1251,Liberty,spellings_exact
Lindenwood,1473,Lindenwood,spellings_exact
Lipscomb,1252,Lipscomb,spellings_exact
Little Rock,1114,Ark Little Rock,spellings_exact
Long Beach St.,1253,Long Beach St,spellings_exact
Longwood,1255,Longwood,spellings_exact
Louisiana,1418,Louisiana,spellings_exact
Louisiana Monroe,1419,ULM,manual_override
Louisiana Tech,1256,Louisiana Tech,spellings_exact
Louisville,1257,Louisville,spellings_exact
Loyola Chicago,1260,Loyola-Chicago,spellings_exact
Loyola MD,1259,Loyola MD,spellings_exact
Loyola Marymount,1258,Loy Marymount,spellings_exact
Maine,1263,Maine,spellings_exact
Manhattan,1264,Manhattan,spellings_exact
Marist,1265,Marist,spellings_exact
Marquette,1266,Marquette,spellings_exact
Marshall,1267,Marshall,spellings_exact
Maryland,1268,Maryland,spellings_exact
Maryland Eastern Shore,1271,MD E Shore,spellings_exact
Massachusetts,1269,Massachusetts,spellings_exact
McNeese St.,1270,McNeese St,spellings_exact
Memphis,1272,Memphis,spellings_exact
Mercer,1273,Mercer,spellings_exact
Mercyhurst,1479,Mercyhurst,spellings_exact
Merrimack,1467,Merrimack,spellings_exact
Miami FL,1274,Miami FL,spellings_exact
Miami OH,1275,Miami OH,spellings_exact
Michigan,1276,Michigan,spellings_exact
Michigan St.,1277,Michigan St,spellings_exact
Middle Tennessee,1292,MTSU,spellings_exact
Milwaukee,1454,WI Milwaukee,spellings_exact
Minnesota,1278,Minnesota,spellings_exact
Mississippi,1279,Mississippi,spellings_exact
Mississippi St.,1280,Mississippi St,spellings_exact
Mississippi Valley St.,1290,MS Valley St,manual_override
Missouri,1281,Missouri,spellings_exact
Missouri St.,1283,Missouri St,spellings_exact
Monmouth,1284,Monmouth NJ,spellings_exact
Montana,1285,Montana,spellings_exact
Montana St.,1286,Montana St,spellings_exact
Morehead St.,1287,Morehead St,spellings_exact
Morgan St.,1288,Morgan St,spellings_exact
Mount St. Mary's,1291,Mt St Mary's,spellings_exact
Murray St.,1293,Murray St,spellings_exact
N.C. State,1301,NC State,spellings_exact
NJIT,1312,NJIT,spellings_exact
Navy,1298,Navy,spellings_exact
Nebraska,1304,Nebraska,spellings_exact
Nebraska Omaha,1303,NE Omaha,spellings_exact
Nevada,1305,Nevada,spellings_exact
New Hampshire,1306,New Hampshire,spellings_exact
New Mexico,1307,New Mexico,spellings_exact
New Mexico St.,1308,New Mexico St,spellings_exact
New Orleans,1309,New Orleans,spellings_exact
Niagara,1310,Niagara,spellings_exact
Nicholls St.,1311,Nicholls St,spellings_exact
Norfolk St.,1313,Norfolk St,spellings_exact
North Alabama,1466,North Alabama,spellings_exact
North Carolina,1314,North Carolina,spellings_exact
North Carolina A&T,1299,NC A&T,spellings_exact
North Carolina Central,1300,NC Central,spellings_exact
North Dakota,1315,North Dakota,spellings_exact
North Dakota St.,1295,N Dakota St,spellings_exact
North Florida,1316,North Florida,spellings_exact
North Texas,1317,North Texas,spellings_exact
Northeastern,1318,Northeastern,spellings_exact
Northern Arizona,1319,Northern Arizona,spellings_exact
Northern Colorado,1294,N Colorado,spellings_exact
Northern Illinois,1296,N Illinois,spellings_exact
Northern Iowa,1320,Northern Iowa,spellings_exact
Northern Kentucky,1297,N Kentucky,spellings_exact
Northwestern,1321,Northwestern,spellings_exact
Northwestern St.,1322,Northwestern LA,spellings_exact
Notre Dame,1323,Notre Dame,spellings_exact
Oakland,1324,Oakland,spellings_exact
Ohio,1325,Ohio,spellings_exact
Ohio St.,1326,Ohio St,spellings_exact
Oklahoma,1328,Oklahoma,spellings_exact
Oklahoma St.,1329,Oklahoma St,spellings_exact
Old Dominion,1330,Old Dominion,spellings_exact
Oral Roberts,1331,Oral Roberts,spellings_exact
Oregon,1332,Oregon,spellings_exact
Oregon St.,1333,Oregon St,spellings_exact
Pacific,1334,Pacific,spellings_exact
Penn,1335,Penn,spellings_exact
Penn St.,1336,Penn St,spellings_exact
Pepperdine,1337,Pepperdine,spellings_exact
Pittsburgh,1338,Pittsburgh,spellings_exact
Portland,1339,Portland,spellings_exact
Portland St.,1340,Portland St,spellings_exact
Prairie View A&M,1341,Prairie View,spellings_exact
Presbyterian,1342,Presbyterian,spellings_exact
Princeton,1343,Princeton,spellings_exact
Providence,1344,Providence,spellings_exact
Purdue,1345,Purdue,spellings_exact
Purdue Fort Wayne,1236,PFW,spellings_exact
Queens,1474,Queens NC,manual_override
Quinnipiac,1346,Quinnipiac,spellings_exact
Radford,1347,Radford,spellings_exact
Rhode Island,1348,Rhode Island,spellings_exact
Rice,1349,Rice,spellings_exact
Richmond,1350,Richmond,spellings_exact
Rider,1351,Rider,spellings_exact
Robert Morris,1352,Robert Morris,spellings_exact
Rutgers,1353,Rutgers,spellings_exact
SIU Edwardsville,1188,SIUE,spellings_exact
SMU,1374,SMU,spellings_exact
Sacramento St.,1170,CS Sacramento,spellings_exact
Sacred Heart,1357,Sacred Heart,spellings_exact
Saint Francis,1384,St Francis PA,manual_override
Saint Joseph's,1386,St Joseph's PA,spellings_exact
Saint Louis,1387,St Louis,spellings_exact
Saint Mary's,1388,St Mary's CA,spellings_exact
Saint Peter's,1389,St Peter's,spellings_exact
Sam Houston St.,1358,Sam Houston St,spellings_exact
Samford,1359,Samford,spellings_exact
San Diego,1360,San Diego,spellings_exact
San Diego St.,1361,San Diego St,spellings_exact
San Francisco,1362,San Francisco,spellings_exact
San Jose St.,1363,San Jose St,spellings_exact
Santa Clara,1365,Santa Clara,spellings_exact
Savannah St.,1366,Savannah St,spellings_exact
Seattle,1370,Seattle,spellings_exact
Seton Hall,1371,Seton Hall,spellings_exact
Siena,1373,Siena,spellings_exact
South Alabama,1375,South Alabama,spellings_exact
South Carolina,1376,South Carolina,spellings_exact
South Carolina St.,1354,S Carolina St,spellings_exact
South Dakota,1377,South Dakota,spellings_exact
South Dakota St.,1355,S Dakota St,spellings_exact
South Florida,1378,South Florida,spellings_exact
Southeast Missouri St.,1369,SE Missouri St,manual_override
Southeastern Louisiana,1368,SE Louisiana,spellings_exact
Southern,1380,Southern Univ,spellings_exact
Southern Illinois,1356,S Illinois,spellings_exact
Southern Indiana,1475,Southern Indiana,spellings_exact
Southern Miss,1379,Southern Miss,spellings_exact
Southern Utah,1381,Southern Utah,spellings_exact
St. Bonaventure,1382,St Bonaventure,spellings_exact
St. Francis NY,1383,St Francis NY,manual_override
St. John's,1385,St John's,spellings_exact
St. Thomas,1472,St Thomas MN,spellings_exact
Stanford,1390,Stanford,spellings_exact
Stephen F. Austin,1372,SF Austin,spellings_exact
Stetson,1391,Stetson,spellings_exact
Stonehill,1476,Stonehill,spellings_exact
Stony Brook,1392,Stony Brook,spellings_exact
Syracuse,1393,Syracuse,spellings_exact
TCU,1395,TCU,spellings_exact
Tarleton St.,1470,Tarleton St,manual_override
Temple,1396,Temple,spellings_exact
Tennessee,1397,Tennessee,spellings_exact
Tennessee Martin,1404,TN Martin,manual_override
Tennessee St.,1398,Tennessee St,spellings_exact
Tennessee Tech,1399,Tennessee Tech,spellings_exact
Texas,1400,Texas,spellings_exact
Texas A&M,1401,Texas A&M,spellings_exact
Texas A&M Corpus Chris,1394,TAM C. Christi,manual_override
Texas Southern,1411,TX Southern,spellings_exact
Texas St.,1402,Texas St,spellings_exact
Texas Tech,1403,Texas Tech,spellings_exact
The Citadel,1154,Citadel,spellings_exact
Toledo,1405,Toledo,spellings_exact
Towson,1406,Towson,spellings_exact
Troy,1407,Troy,spellings_exact
Tulane,1408,Tulane,spellings_exact
Tulsa,1409,Tulsa,spellings_exact
UAB,1412,UAB,spellings_exact
UC Davis,1413,UC Davis,spellings_exact
UC Irvine,1414,UC Irvine,spellings_exact
UC Riverside,1415,UC Riverside,spellings_exact
UC San Diego,1471,UC San Diego,spellings_exact
UC Santa Barbara,1364,UC Santa Barbara,spellings_exact
UCF,1416,UCF,spellings_exact
UCLA,1417,UCLA,spellings_exact
UMBC,1420,UMBC,spellings_exact
UMKC,1282,Missouri KC,spellings_exact
UMass Lowell,1262,MA Lowell,spellings_exact
UNC Asheville,1421,UNC Asheville,spellings_exact
UNC Greensboro,1422,UNC Greensboro,spellings_exact
UNC Wilmington,1423,UNC Wilmington,spellings_exact
UNLV,1424,UNLV,spellings_exact
USC,1425,USC,spellings_exact
USC Upstate,1367,SC Upstate,spellings_exact
UT Arlington,1426,UT Arlington,spellings_exact
UT Rio Grande Valley,1396,Temple,manual_override
UTEP,1431,UTEP,spellings_exact
UTSA,1427,UT San Antonio,spellings_exact
Utah,1428,Utah,spellings_exact
Utah St.,1429,Utah St,spellings_exact
Utah Tech,1469,Utah Tech,spellings_exact
Utah Valley,1430,Utah Valley,spellings_exact
VCU,1433,VCU,spellings_exact
VMI,1440,VMI,spellings_exact
Valparaiso,1434,Valparaiso,spellings_exact
Vanderbilt,1435,Vanderbilt,spellings_exact
Vermont,1436,Vermont,spellings_exact
Villanova,1437,Villanova,spellings_exact
Virginia,1438,Virginia,spellings_exact
Virginia Tech,1439,Virginia Tech,spellings_exact
Wagner,1447,Wagner,spellings_exact
Wake Forest,1448,Wake Forest,spellings_exact
Washington,1449,Washington,spellings_exact
Washington St.,1450,Washington St,spellings_exact
Weber St.,1451,Weber St,spellings_exact
West Georgia,1480,West Georgia,spellings_exact
West Virginia,1452,West Virginia,spellings_exact
Western Carolina,1441,W Carolina,spellings_exact
Western Illinois,1442,W Illinois,spellings_exact
Western Kentucky,1443,WKU,spellings_exact
Western Michigan,1444,W Michigan,spellings_exact
Wichita St.,1455,Wichita St,spellings_exact
William & Mary,1456,William & Mary,spellings_exact
Winston Salem St.,1445,W Salem St,manual_override
Winthrop,1457,Winthrop,spellings_exact
Wisconsin,1458,Wisconsin,spellings_exact
Wofford,1459,Wofford,spellings_exact
Wright St.,1460,Wright St,spellings_exact
Wyoming,1461,Wyoming,spellings_exact
Xavier,1462,Xavier,spellings_exact
Yale,1463,Yale,spellings_exact
Youngstown St.,1464,Youngstown St,spellings_exact
